seed,stratum,n_rows,n_pos,auc_peer,auc_expo
1403,IND_grp_shortfall_pos,1940,6,0.45036194415718717,0.2180282661151327
1403,IND_grp_shortfall_zero,42060,2,0.8038423129963383,0.16018355604165677
1403,ALL_rows,44000,8,0.8937548304237134,0.39400913802509546
1504,SELF_peer_stress_high,14310,20,0.8871046186144157,0.3887753673897831
1504,IND_grp_dpd_pos,4965,25,0.5413724696356276,0.19412955465587045
1504,IND_grp_dpd_zero,39035,5,0.2777632590315142,0.12193184729695106
1504,IND_grp_shortfall_pos,2270,25,0.48843652561247214,0.23228507795100223
1504,IND_grp_shortfall_zero,41730,5,0.2599185140802876,0.12439065308568005
1504,ALL_rows,44000,30,0.7058376923660071,0.41678417102569937
1605,SELF_peer_stress_high,13645,7,0.9321957555569522,0.4404238158087696
1605,IND_grp_dpd_pos,4620,13,0.44080078809837875,0.18506954300312234
1605,IND_grp_dpd_zero,39380,4,0.3766761479073547,0.1140161519707436
1605,IND_grp_shortfall_pos,2175,13,0.39073507436134636,0.21038212481320714
1605,IND_grp_shortfall_zero,41825,4,0.35618469190119795,0.1165144305492456
1605,ALL_rows,44000,17,0.5400188040566476,0.2927695326135365
1706,SELF_peer_stress_high,14385,4,0.9248313747305472,0.28915756901467216
1706,IND_grp_dpd_pos,3510,4,0.6916714204221335,0.20054905875641757
1706,IND_grp_dpd_zero,40490,0,,
1706,IND_grp_shortfall_pos,1585,4,0.6470588235294118,0.22817836812144213
1706,IND_grp_shortfall_zero,42415,0,,
1706,ALL_rows,44000,4,0.9754295845076825,0.517697631602873
1807,SELF_peer_stress_high,14420,4,0.992343576581576,0.4810366953385128
1807,IND_grp_dpd_pos,3965,5,0.7798232323232324,0.18196969696969698
1807,IND_grp_dpd_zero,40035,2,0.19256613294032424,0.28291659381010664
1807,IND_grp_shortfall_pos,1645,5,0.7527439024390243,0.21304878048780487
1807,IND_grp_shortfall_zero,42355,2,0.18201780275305174,0.27837461336859254
1807,ALL_rows,44000,7,0.6303860029680046,0.47078593672369956
1908,SELF_peer_stress_high,14480,23,0.8104664206597676,0.28826715507156153
1908,IND_grp_dpd_pos,5415,22,0.6692682433457512,0.21368187718085735
1908,IND_grp_dpd_zero,38585,6,0.43163595047391934,0.18211548597250662
1908,IND_grp_shortfall_pos,2390,22,0.5355497542997543,0.24658323095823095
1908,IND_grp_shortfall_zero,41610,6,0.4034287568503029,0.17990057045796878
1908,ALL_rows,44000,28,0.8199637594053358,0.45529379085392
2009,SELF_peer_stress_high,14484,7,0.9681267823838798,0.592249775505975
2009,IND_grp_dpd_pos,5200,8,0.8001613058551618,0.37480739599383667
2009,IND_grp_dpd_zero,38800,6,0.20728720936227252,0.17578319671426854
2009,IND_grp_shortfall_pos,2305,8,0.7768556813234654,0.3933391380060949
2009,IND_grp_shortfall_zero,41695,6,0.19289260956127516,0.1760496373943566
2009,ALL_rows,44000,14,0.5912327623724432,0.435585023806276
2110,SELF_peer_stress_high,14171,24,0.9361908296222992,0.5200012959166843
2110,IND_grp_dpd_pos,3380,24,0.7310165872069925,0.22051301152165276
2110,IND_grp_dpd_zero,40620,3,0.4635415384362869,0.30066228426520913
2110,IND_grp_shortfall_pos,1620,24,0.631187343358396,0.26044277360066836
2110,IND_grp_shortfall_zero,42380,3,0.4445965185517301,0.29648158199023056
2110,ALL_rows,44000,27,0.9185973547740995,0.6227474603523543
